,,,,,,,,
,Fund Name,Fund Code,Stock Code,Previous %,Current %,Change %,Change Points,Status
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,VNM,3.90%,0.00%,-3.90%,-3.9,REMOVED
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,CMG,3.73%,0.00%,-3.73%,-3.73,REMOVED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,REE,3.72%,0.00%,-3.72%,-3.72,REMOVED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,FPT,3.71%,0.00%,-3.71%,-3.71,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,BWE,3.66%,0.00%,-3.66%,-3.66,REMOVED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,FPT,3.65%,0.00%,-3.65%,-3.65,REMOVED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,VEA,3.65%,0.00%,-3.65%,-3.65,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,FPT,3.54%,0.00%,-3.54%,-3.54,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,PVS,3.54%,0.00%,-3.54%,-3.54,REMOVED
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,TNG,3.53%,0.00%,-3.53%,-3.53,REMOVED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,KDH,3.52%,0.00%,-3.52%,-3.52,REMOVED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,VRE,3.40%,0.00%,-3.40%,-3.4,REMOVED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,STB,3.12%,0.00%,-3.12%,-3.12,REMOVED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,PLX,3.01%,0.00%,-3.01%,-3.01,REMOVED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,MBB,2.97%,0.00%,-2.97%,-2.97,REMOVED
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,GEG,2.82%,0.00%,-2.82%,-2.82,REMOVED
