,,,,,,,,
,Fund Name,Fund Code,Stock Code,Previous %,Current %,Change %,Change Points,Status
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,SHB,4.20%,4.22%,0.02%,0.02,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,STB,5.95%,5.98%,0.03%,0.03,CHANGED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,STB,4.13%,4.16%,0.03%,0.03,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,BID,4.47%,4.50%,0.03%,0.03,CHANGED
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,BID,4.41%,4.45%,0.04%,0.04,CHANGED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,CTG,3.97%,4.02%,0.05%,0.05,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,HDB,3.54%,3.59%,0.05%,0.05,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,CTG,5.21%,5.26%,0.05%,0.05,CHANGED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,TCB,4.97%,5.03%,0.06%,0.06,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,PNJ,4.59%,4.65%,0.06%,0.06,CHANGED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,HPG,6.12%,6.19%,0.07%,0.07,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,VCB,5.95%,6.03%,0.08%,0.08,CHANGED
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,MSN,3.89%,3.97%,0.08%,0.08,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,ACB,5.54%,5.62%,0.08%,0.08,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,EIB,3.75%,3.84%,0.09%,0.09,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,FMC,4.42%,4.51%,0.09%,0.09,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,STB,3.89%,3.99%,0.10%,0.1,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,TCB,4.25%,4.36%,0.11%,0.11,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,NLG,3.32%,3.43%,0.11%,0.11,CHANGED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,TNG,3.48%,3.59%,0.11%,0.11,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,VIB,4.40%,4.52%,0.12%,0.12,CHANGED
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,VIB,3.39%,3.52%,0.13%,0.13,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,ACB,3.87%,4.02%,0.15%,0.15,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,MWG,4.35%,4.50%,0.15%,0.15,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,TLG,4.26%,4.41%,0.15%,0.15,CHANGED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,HPG,4.83%,4.98%,0.15%,0.15,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,VCB,4.58%,4.75%,0.17%,0.17,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,VND,3.78%,3.95%,0.17%,0.17,CHANGED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,GSP,3.28%,3.46%,0.18%,0.18,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,STB,7.26%,7.44%,0.18%,0.18,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,TCB,3.69%,3.88%,0.19%,0.19,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,LPB,3.55%,3.75%,0.20%,0.2,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,ACB,4.26%,4.46%,0.20%,0.2,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,HPG,3.47%,3.68%,0.21%,0.21,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,CTG,4.96%,5.17%,0.21%,0.21,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,IJC,4.29%,4.50%,0.21%,0.21,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,TCB,2.87%,3.08%,0.21%,0.21,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,VHM,4.20%,4.43%,0.23%,0.23,CHANGED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,TCB,4.33%,4.56%,0.23%,0.23,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,TCB,5.58%,5.81%,0.23%,0.23,CHANGED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,SAB,3.65%,3.88%,0.23%,0.23,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,MBB,8.66%,8.89%,0.23%,0.23,CHANGED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,CTG,7.10%,7.35%,0.25%,0.25,CHANGED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,VCB,3.86%,4.11%,0.25%,0.25,CHANGED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,MWG,5.38%,5.65%,0.27%,0.27,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,CTG,9.05%,9.33%,0.28%,0.28,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,MBB,3.88%,4.16%,0.28%,0.28,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,MWG,5.41%,5.70%,0.29%,0.29,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,KDH,4.29%,4.58%,0.29%,0.29,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,MBB,3.82%,4.12%,0.30%,0.3,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,VIB,3.32%,3.63%,0.31%,0.31,CHANGED
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,MBB,8.73%,9.05%,0.32%,0.32,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,FUEKIVFS,4.96%,5.31%,0.35%,0.35,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,ACB,3.99%,4.36%,0.37%,0.37,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,VHM,4.31%,4.68%,0.37%,0.37,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,MWG,5.12%,5.53%,0.41%,0.41,CHANGED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,ACB,4.42%,4.83%,0.41%,0.41,CHANGED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,PVT,3.39%,3.86%,0.47%,0.47,CHANGED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,VNM,6.48%,6.95%,0.47%,0.47,CHANGED
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,BVB,3.23%,3.72%,0.49%,0.49,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,ACB,6.84%,7.35%,0.51%,0.51,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,VIB,4.10%,4.62%,0.52%,0.52,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,MBB,7.91%,8.44%,0.53%,0.53,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,VCB,3.72%,4.26%,0.54%,0.54,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,VIC,4.11%,4.67%,0.56%,0.56,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,CTG,4.77%,5.34%,0.57%,0.57,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,ACB,4.75%,5.33%,0.58%,0.58,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,VPB,6.68%,7.28%,0.60%,0.6,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,ACB,7.62%,8.23%,0.61%,0.61,CHANGED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,HHS,2.99%,3.60%,0.61%,0.61,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,MWG,10.83%,11.45%,0.62%,0.62,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,BVH,4.30%,4.93%,0.63%,0.63,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,VIB,15.35%,15.99%,0.64%,0.64,CHANGED
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,ACB,8.39%,9.04%,0.65%,0.65,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,ACB,5.14%,5.79%,0.65%,0.65,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,CTG,12.74%,13.40%,0.66%,0.66,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,MWG,2.91%,3.58%,0.67%,0.67,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,HPG,7.41%,8.09%,0.68%,0.68,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,HPG,3.36%,4.04%,0.68%,0.68,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,MBB,7.45%,8.15%,0.70%,0.7,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,MBB,8.95%,9.65%,0.70%,0.7,CHANGED
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,VIC,2.95%,3.67%,0.72%,0.72,CHANGED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,DBD,10.09%,10.82%,0.73%,0.73,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,MWG,3.96%,4.71%,0.75%,0.75,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,MWG,4.40%,5.21%,0.81%,0.81,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,CTG,9.37%,10.19%,0.82%,0.82,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,TCB,5.29%,6.11%,0.82%,0.82,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,ACB,4.11%,4.95%,0.84%,0.84,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,MBB,5.54%,6.41%,0.87%,0.87,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,PVI,8.79%,9.68%,0.89%,0.89,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,MBB,4.89%,5.80%,0.91%,0.91,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,SSI,4.36%,5.34%,0.98%,0.98,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,VIC,4.46%,5.45%,0.99%,0.99,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,HPG,5.83%,6.86%,1.03%,1.03,CHANGED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,VCB,3.06%,4.12%,1.06%,1.06,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,VPB,5.19%,6.26%,1.07%,1.07,CHANGED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,MBB,5.20%,6.28%,1.08%,1.08,CHANGED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,GAS,6.55%,7.65%,1.10%,1.1,CHANGED
,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,VCBFAIF,MBB,5.14%,6.32%,1.18%,1.18,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,TCB,5.46%,6.75%,1.29%,1.29,CHANGED
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,MWG,5.01%,6.40%,1.39%,1.39,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,VIP,0.00%,1.48%,1.48%,1.48,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,MBB,6.14%,7.65%,1.51%,1.51,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,VHM,5.84%,7.39%,1.55%,1.55,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,ACB,12.25%,13.81%,1.56%,1.56,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,VCBFBCF,MBB,8.93%,10.78%,1.85%,1.85,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,SAB,0.00%,1.86%,1.86%,1.86,NEW
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,MWG,4.34%,6.32%,1.98%,1.98,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,MBB,6.37%,8.37%,2.00%,2,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,GMD,4.10%,6.11%,2.01%,2.01,CHANGED
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,NAB,12.94%,14.96%,2.02%,2.02,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,CTG,0.00%,2.32%,2.32%,2.32,NEW
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,IJC,0.00%,2.36%,2.36%,2.36,NEW
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,GMD,0.00%,2.42%,2.42%,2.42,NEW
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,KHG,0.00%,2.52%,2.52%,2.52,NEW
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,SCR,0.00%,2.52%,2.52%,2.52,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,VCB,4.71%,7.35%,2.64%,2.64,CHANGED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,VEA,0.00%,2.71%,2.71%,2.71,NEW
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,SSI,0.00%,2.77%,2.77%,2.77,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,PLX,0.00%,2.89%,2.89%,2.89,NEW
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,VCB,0.00%,2.90%,2.90%,2.9,NEW
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,MWG,0.00%,2.99%,2.99%,2.99,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,VIX,0.00%,3.08%,3.08%,3.08,NEW
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,MSB,0.00%,3.09%,3.09%,3.09,NEW
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,KDH,5.82%,8.98%,3.16%,3.16,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,HDG,0.00%,3.27%,3.27%,3.27,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,VCBFMGF,BVH,0.00%,3.30%,3.30%,3.3,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,PNJ,0.00%,3.35%,3.35%,3.35,NEW
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,VIB,0.00%,3.36%,3.36%,3.36,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,VEA,0.00%,3.36%,3.36%,3.36,NEW
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,NTP,0.00%,3.47%,3.47%,3.47,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,TBLF,QNS,0.00%,3.49%,3.49%,3.49,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,ACB,0.00%,3.56%,3.56%,3.56,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,STB,0.00%,3.58%,3.58%,3.58,NEW
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,OCB,0.00%,3.73%,3.73%,3.73,NEW
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,CTG,0.00%,3.82%,3.82%,3.82,NEW
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,MCH,0.00%,3.87%,3.87%,3.87,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,HDB,0.00%,3.91%,3.91%,3.91,NEW
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,MSN,0.00%,3.94%,3.94%,3.94,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,QNS,0.00%,3.95%,3.95%,3.95,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,VDEF,SSI,0.00%,3.95%,3.95%,3.95,NEW
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,GMD,0.00%,3.97%,3.97%,3.97,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,MWG,0.00%,4.08%,4.08%,4.08,NEW
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,MWG,0.00%,4.08%,4.08%,4.08,NEW
,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,SSISCA,KDH,0.00%,4.11%,4.11%,4.11,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,GMD,0.00%,4.14%,4.14%,4.14,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,HDG,0.00%,4.15%,4.15%,4.15,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,HDB,0.00%,4.15%,4.15%,4.15,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,KDH,0.00%,4.17%,4.17%,4.17,NEW
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,DCAF,REE,0.00%,4.20%,4.20%,4.2,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,VPB,3.59%,7.89%,4.30%,4.3,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,VCB,0.00%,4.33%,4.33%,4.33,NEW
,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,LHCDF,MWG,0.00%,4.33%,4.33%,4.33,NEW
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,VIC,0.00%,4.37%,4.37%,4.37,NEW
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,PDR,0.00%,4.39%,4.39%,4.39,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,VCB,0.00%,4.41%,4.41%,4.41,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,MAGEF,HDB,0.00%,4.42%,4.42%,4.42,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,MWG,0.00%,4.50%,4.50%,4.5,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,MWG,0.00%,4.55%,4.55%,4.55,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,UVEEF,MWG,0.00%,4.56%,4.56%,4.56,NEW
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,VHM,0.00%,4.57%,4.57%,4.57,NEW
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,GMD,0.00%,4.63%,4.63%,4.63,NEW
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,MWG,13.21%,17.87%,4.66%,4.66,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,MAFEQI,ACB,0.00%,4.72%,4.72%,4.72,NEW
,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,RVPF24,DIG,0.00%,4.78%,4.78%,4.78,NEW
,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,VFMVF1,VPB,2.68%,7.58%,4.90%,4.9,CHANGED
,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,VNDAF,ACB,0.00%,4.94%,4.94%,4.94,NEW
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,KDH,0.00%,5.02%,5.02%,5.02,NEW
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,TCGF,MSN,0.00%,6.11%,6.11%,6.11,NEW
